#prior iterations pre-pended by #
#S-port,frequency(GHz),gain,directivity,radiation efficiency
1,9.6,2.10483146100436,2.16077271656467,0.987201654269563
#1,12,-1.62716552180019,2.46278826881422,0.389946135722003
1,12,-1.69473658997736,2.41947495742908,0.38777414170873
