#prior iterations pre-pended by #
#S-port,frequency(GHz),gain,directivity,radiation efficiency
1,8,-2.29493971029417,2.0297020211311,0.369433119260322
1,8.25,-1.05980516004242,2.04771721664038,0.488931212043734
1,8.5,0.0757967773433374,2.06676010676769,0.632271588626402
1,8.75,1.03272356491164,2.08662435875192,0.784530659698463
1,9,1.72615264775622,2.10759021579885,0.915917260082811
1,9.2,2.05115776236274,2.12479454366098,0.983187439935185
1,9.22,2.07202357168608,2.12653370554516,0.987527018411832
1,9.24,2.09080698965203,2.12827617331918,0.991409512548265
1,9.25,2.09942318498337,2.12914863920109,0.993178831728604
1,9.26,2.10752558251467,2.1300219223052,0.994833419263741
1,9.28,2.12219961369317,2.13177092780794,0.997798550232673
1,9.3,2.13485195057212,2.13352316529889,1.00030601092799
1,9.32,2.14550796464056,2.13527861027409,1.00235817201161
1,9.34,2.15419541906729,2.13703723840053,1.00395863186869
1,9.36,2.16094434865333,2.13879902545889,1.00511217189315
1,9.38,2.16578693108617,2.14056394727203,1.0058247046598
1,9.4,2.16875735458884,2.1423319800175,1.0061032165477
1,9.42,2.1698916761692,2.14410309983124,1.00595570424702
1,9.44,2.169227678587,2.14587728316815,1.00539110724049
1,9.46,2.16680472314559,2.14765450653445,1.00441923648148
1,9.48,2.16332627328552,2.15002781894868,1.00306677523436
1,9.5,2.15751040059385,2.15181149948655,1.00131308181161
1,9.52,2.15006153906226,2.15359806559111,0.999186016138116
1,9.54,2.14102386902276,2.15538749365962,0.996698116449787
1,9.56,2.13044240473796,2.15717976020251,0.993862408825087
1,9.58,2.11836285039022,2.1589748421089,0.990692330357544
1,9.6,2.10483146096657,2.16077271655105,0.987201654264069
1,9.75,1.96180363146872,2.17434357075735,0.952239091120995
1,10,1.6021705869049,2.20026391883412,0.871346050043081
1,10.25,1.1541919915223,2.2237045468663,0.781715538072042
1,10.5,0.676576837822869,2.24812547315256,0.696378150810571
1,10.75,0.203723427125533,2.27334612659523,0.620922975599695
1,11,-0.245422421789604,2.29955259981788,0.556547835226929
1,11.25,-0.66192911969485,2.32691690087423,0.502476086507202
1,11.5,-1.04272699969914,2.35558343136944,0.457266048712594
1,11.75,-1.38335909293706,2.38882211584372,0.419548216381353
#1,12,-1.62716552215478,2.46278826883468,0.389946135688328
1,12,-1.69473658992564,2.4194749574268,0.387774141713551
